"","Rank","p.value","p.adj","avg.logfc","avg.logfc.dir","direction","significance"
"GO_INTERSPECIES_INTERACTION_BETWEEN_ORGANISMS",60,1.04198750514218e-27,9.58628504730809e-26,1,1,"Up",28.9714094805768
"GO_SYMBIOSIS_ENCOMPASSING_MUTUALISM_THROUGH_PARASITISM",61,1.04198750514218e-27,9.58628504730809e-26,1,1,"Up",28.9714094805768
"GO_PROTEIN_LOCALIZATION_TO_ORGANELLE",62,2.32420466931589e-27,2.10378009745173e-25,1,1,"Up",28.576123985499
"GO_CHROMATIN_MODIFICATION",63,5.36421491035212e-27,4.7784085836343e-25,1,1,"Up",28.1635460546631
"GO_CYTOSKELETON_ORGANIZATION",64,1.27673157849729e-26,1.11953400289481e-24,1,1,"Up",27.7353685416514
"GO_CHROMOSOME_SEGREGATION",65,2.42568041902442e-26,2.09429515562539e-24,1,1,"Up",27.4203901016981
"GO_RNA_LOCALIZATION",66,4.00223341785093e-26,3.4031112031787e-24,1,1,"Up",27.1762380520052
"GO_ENVELOPE",67,8.46063851690272e-26,7.08673184430718e-24,1,1,"Up",26.8073321106172
"GO_REGULATION_OF_CELLULAR_RESPONSE_TO_STRESS",68,9.65553434532056e-26,7.9686556979322e-24,1,1,"Up",26.748344348845
"GO_REGULATION_OF_PROTEIN_CATABOLIC_PROCESS",69,3.16580972350769e-25,2.57485857511959e-23,1,1,"Up",26.1584925678069
"GO_NCRNA_METABOLIC_PROCESS",70,7.78053334411135e-25,6.23776473245041e-23,1,1,"Up",25.7134989446981
"GO_HYDROLASE_ACTIVITY_ACTING_ON_ACID_ANHYDRIDES",71,2.26807977774797e-24,1.79274136798896e-22,1,1,"Up",25.1825661459538
"GO_PROTEIN_PHOSPHORYLATION",72,2.32695213603029e-24,1.81372991491694e-22,1,1,"Up",25.1767124512164
"GO_MEMBRANE_ORGANIZATION",73,2.64035223163605e-24,2.02981598958103e-22,1,1,"Up",25.1201044039298
"GO_MICROTUBULE_CYTOSKELETON_ORGANIZATION",74,3.29078006947507e-24,2.49565645268839e-22,1,1,"Up",25.0161986515319
"GO_NUCLEAR_EXPORT",75,4.06273649356257e-24,3.04001029358308e-22,1,1,"Up",24.91696878838
"GO_NUCLEAR_TRANSPORT",76,7.83384926836639e-24,5.78467922290423e-22,1,1,"Up",24.5934169003247
"GO_KINASE_ACTIVITY",77,9.36612117686353e-24,6.82632104474781e-22,1,1,"Up",24.5101476367248
"GO_AMIDE_BIOSYNTHETIC_PROCESS",78,1.50450303677865e-23,1.08247064646177e-21,1,1,"Up",24.2782806845578
"GO_CHROMOSOMAL_REGION",79,2.63560727755639e-23,1.87228203058816e-21,1,1,"Up",24.0027271042834
"GO_REGULATION_OF_CELLULAR_PROTEIN_CATABOLIC_PROCESS",80,4.17908855411373e-23,2.93163062071078e-21,1,1,"Up",23.7772192734743
"GO_RNA_SPLICING_VIA_TRANSESTERIFICATION_REACTIONS",81,8.76451311208324e-23,6.07240093642113e-21,1,1,"Up",23.410998366455
"GO_NEGATIVE_REGULATION_OF_CELL_CYCLE",82,9.61093571039356e-23,6.57763063496691e-21,1,1,"Up",23.3708050712229
"GO_PROTEASOMAL_PROTEIN_CATABOLIC_PROCESS",83,1.15047197496085e-22,7.7788538837112e-21,1,1,"Up",23.2864487831406
"GO_PROTEIN_SERINE_THREONINE_KINASE_ACTIVITY",84,1.30918350125306e-22,8.7465926298002e-21,1,1,"Up",23.2274792911465
"GO_NUCLEAR_BODY",85,1.49834903745489e-22,9.89262917434926e-21,1,1,"Up",23.165557410823
"GO_CELL_CYCLE_CHECKPOINT",86,1.5872757191204e-22,1.0357896901981e-20,1,1,"Up",23.1424437716806
"GO_PROTEIN_POLYUBIQUITINATION",87,3.11965064928284e-22,2.01235395905464e-20,1,1,"Up",22.8084367513162
"GO_INTRACELLULAR_SIGNAL_TRANSDUCTION",88,3.44302627483232e-22,2.19571175617716e-20,1,1,"Up",22.7645819427291
"GO_PROTEOLYSIS",89,4.11941158667494e-22,2.5975435757775e-20,1,1,"Up",22.6800619322021
"GO_CELLULAR_AMIDE_METABOLIC_PROCESS",90,5.20257742422553e-22,3.24409605608374e-20,1,1,"Up",22.5682785732214
"GO_PROTEIN_UBIQUITINATION",91,6.45325771376737e-22,3.97974530655631e-20,1,1,"Up",22.4654921005388
"GO_SISTER_CHROMATID_SEGREGATION",92,8.30495281219795e-22,5.05926899174716e-20,1,1,"Up",22.344790206511
"GO_REGULATION_OF_CYTOSKELETON_ORGANIZATION",93,8.38403450164801e-22,5.05926899174716e-20,1,1,"Up",22.344790206511
"GO_SPINDLE",94,9.3226302011772e-22,5.56580858393685e-20,1,1,"Up",22.2968018466175
"GO_CELL_CYCLE_G2_M_PHASE_TRANSITION",95,9.5377305900619e-22,5.63428884962394e-20,1,1,"Up",22.2906518578683
"GO_ORGANONITROGEN_COMPOUND_BIOSYNTHETIC_PROCESS",96,9.69472885939231e-22,5.66737691238642e-20,1,1,"Up",22.2877070606383
"GO_NCRNA_PROCESSING",97,2.21975982493067e-21,1.28425692139288e-19,1,1,"Up",21.8763023307728
"GO_ATPASE_ACTIVITY",98,2.29605321407528e-21,1.31484190177454e-19,1,1,"Up",21.8644656282117
"GO_POSITIVE_REGULATION_OF_CELLULAR_COMPONENT_ORGANIZATION",99,2.50589792822287e-21,1.42051506799866e-19,1,1,"Up",21.8255886789502
"GO_NUCLEAR_SPECK",100,2.92931684423954e-21,1.64393261298723e-19,1,1,"Up",21.7521268750705
"GO_ENDOMEMBRANE_SYSTEM_ORGANIZATION",101,4.05093374593929e-21,2.25087526556547e-19,1,1,"Up",21.5940967296561
"GO_REGULATION_OF_MICROTUBULE_BASED_PROCESS",102,4.29771587529381e-21,2.36458642079891e-19,1,1,"Up",21.5693110354244
"GO_NUCLEOBASE_CONTAINING_COMPOUND_TRANSPORT",103,4.35397246327725e-21,2.3722809188264e-19,1,1,"Up",21.5676771758555
"GO_NUCLEAR_CHROMOSOME_SEGREGATION",104,7.36581975139166e-21,3.97470965815481e-19,1,1,"Up",21.3081224343236
"GO_PROTEIN_COMPLEX_BIOGENESIS",105,1.14953092248492e-20,6.08600711036354e-19,1,1,"Up",21.093859928319
"GO_PROTEIN_COMPLEX_ASSEMBLY",106,1.14953092248492e-20,6.08600711036354e-19,1,1,"Up",21.093859928319
"GO_ORGANONITROGEN_COMPOUND_METABOLIC_PROCESS",107,1.30971108840522e-20,6.8692510543272e-19,1,1,"Up",21.0329755016996
"GO_PEPTIDYL_LYSINE_MODIFICATION",108,2.23467276751771e-20,1.16120218252865e-18,1,1,"Up",20.7689518282036
"GO_MITOCHONDRION",109,2.43108054236192e-20,1.25167192694817e-18,1,1,"Up",20.7312208891245
"GO_DNA_DEPENDENT_ATPASE_ACTIVITY",110,4.08201031476299e-20,2.08256744422272e-18,1,1,"Up",20.4751757538226
"GO_GOLGI_APPARATUS",111,4.21841629798437e-20,2.13277047426021e-18,1,1,"Up",20.4631961255294
"GO_POSITIVE_REGULATION_OF_PROTEIN_CATABOLIC_PROCESS",112,5.28579234493897e-20,2.64855952141049e-18,1,1,"Up",20.3542675366995
"GO_REGULATION_OF_CELLULAR_AMIDE_METABOLIC_PROCESS",113,5.92707840209436e-20,2.94360743296934e-18,1,1,"Up",20.301149604466
"GO_POSITIVE_REGULATION_OF_PROTEIN_METABOLIC_PROCESS",114,1.26357915122365e-19,6.2203563128659e-18,1,1,"Up",19.9248723586004
"GO_PROTEIN_TARGETING",115,2.2467545614931e-19,1.09599577545186e-17,1,1,"Up",19.6400101705832
"GO_NUCLEAR_CHROMOSOME",116,2.26542248667882e-19,1.09599577545186e-17,1,1,"Up",19.6400101705832
"GO_PEPTIDE_METABOLIC_PROCESS",117,2.52965924405742e-19,1.21337159638036e-17,1,1,"Up",19.5888437215576
"GO_CHROMATIN_ORGANIZATION",118,2.64444916241312e-19,1.25768209317478e-17,1,1,"Up",19.5708053940955
"GO_DNA_RECOMBINATION",119,4.3114264725555e-19,2.03325423226735e-17,1,1,"Up",19.3292211600724
"GO_PROTEIN_KINASE_ACTIVITY",120,4.7611655293107e-19,2.22663841254097e-17,1,1,"Up",19.2835285289272
"GO_RIBOSOME_BIOGENESIS",121,5.56444346998135e-19,2.58079807880457e-17,1,1,"Up",19.2092953036075
"GO_ANCHORING_JUNCTION",122,6.27463966561528e-19,2.88633424618303e-17,1,1,"Up",19.1530247661088
"GO_HELICASE_ACTIVITY",123,6.71369759163014e-19,3.06319275481531e-17,1,1,"Up",19.1231161192786
"GO_PROTEIN_SUMOYLATION",124,7.45367026045862e-19,3.37338689529788e-17,1,1,"Up",19.0746051143378
"GO_VESICLE_MEDIATED_TRANSPORT",125,9.36601138943271e-19,4.20496447339971e-17,1,1,"Up",18.9637883266732
"GO_POSITIVE_REGULATION_OF_CELLULAR_PROTEIN_CATABOLIC_PROCESS",126,1.29755548047138e-18,5.77927091778205e-17,1,1,"Up",18.8038552233995
"GO_CELL_SUBSTRATE_JUNCTION",127,1.37655175341777e-18,6.08284129148071e-17,1,1,"Up",18.7781087667108
"GO_NEGATIVE_REGULATION_OF_ORGANELLE_ORGANIZATION",128,1.41001250947342e-18,6.18202359622253e-17,1,1,"Up",18.7699747292495
"GO_NEGATIVE_REGULATION_OF_MITOTIC_CELL_CYCLE",129,1.62450195143847e-18,7.06721314067651e-17,1,1,"Up",18.7026742552921
"GO_CHROMOSOME_CENTROMERIC_REGION",130,2.093552488664e-18,9.03770505106334e-17,1,1,"Up",18.5789876193808
"GO_DNA_REPLICATION",131,2.93779273160853e-18,1.25854143586161e-16,1,1,"Up",18.4124554634715
"GO_ESTABLISHMENT_OF_PROTEIN_LOCALIZATION_TO_ORGANELLE",132,3.55265819338786e-18,1.51041801373429e-16,1,1,"Up",18.3207070343725
"GO_MITOCHONDRIAL_PART",133,3.92088833708709e-18,1.65443799607013e-16,1,1,"Up",18.2749040138582
"GO_ORGANELLE_LOCALIZATION",134,4.79723863775192e-18,2.00911218172118e-16,1,1,"Up",18.1772218979421
"GO_POSITIVE_REGULATION_OF_ORGANELLE_ORGANIZATION",135,4.84588052795073e-18,2.01445048317478e-16,1,1,"Up",18.1758874001692
"GO_ATPASE_ACTIVITY_COUPLED",136,5.66634826983779e-18,2.33820194781836e-16,1,1,"Up",18.1009349467488
"GO_POSITIVE_REGULATION_OF_MOLECULAR_FUNCTION",137,6.8994702607226e-18,2.82626475205659e-16,1,1,"Up",18.0055953238471
"GO_DNA_INTEGRITY_CHECKPOINT",138,8.65950148197336e-18,3.52153060266916e-16,1,1,"Up",17.8949841434824
"GO_CELLULAR_MACROMOLECULAR_COMPLEX_ASSEMBLY",139,1.09630320652158e-17,4.42622560791303e-16,1,1,"Up",17.7799916979371
"GO_RIBONUCLEOPROTEIN_COMPLEX_LOCALIZATION",140,1.3011704926131e-17,5.21583486038909e-16,1,1,"Up",17.6974370889662
"GO_POSITIVE_REGULATION_OF_CATALYTIC_ACTIVITY",141,1.52695717839384e-17,6.07750615967817e-16,1,1,"Up",17.6205436389072
"GO_NEGATIVE_REGULATION_OF_CELLULAR_COMPONENT_ORGANIZATION",142,2.22893103122892e-17,8.80898658257515e-16,1,1,"Up",17.4338723780349
"GO_REGULATION_OF_CHROMOSOME_ORGANIZATION",143,2.64939961384373e-17,1.03975039390846e-15,1,1,"Up",17.3504922739035
"GO_POSITIVE_REGULATION_OF_CATABOLIC_PROCESS",144,3.00781402710963e-17,1.17221196667634e-15,1,1,"Up",17.2901867075988
"GO_TRANSFERASE_COMPLEX_TRANSFERRING_PHOSPHORUS_CONTAINING_GROUPS",145,5.3875459259228e-17,2.08516605077784e-15,1,1,"Up",17.0005293571937
"GO_COVALENT_CHROMATIN_MODIFICATION",146,7.94626181932197e-17,3.0544124198654e-15,1,1,"Up",16.808546910604
"GO_MITOTIC_CELL_CYCLE_CHECKPOINT",147,1.10840649055327e-16,4.23154913264284e-15,1,1,"Up",16.6446059607898
"GO_RNA_CATABOLIC_PROCESS",148,1.17767373998367e-16,4.46561150593807e-15,1,1,"Up",16.6175299754896
"GO_GOLGI_VESICLE_TRANSPORT",149,1.23820690729794e-16,4.66363568037318e-15,1,1,"Up",16.5957088752012
"GO_CHROMATIN_BINDING",150,1.25529034073983e-16,4.69645959482129e-15,1,1,"Up",16.5921816177764
"GO_NEGATIVE_REGULATION_OF_GENE_EXPRESSION",151,1.43417261559939e-16,5.33018325744621e-15,1,1,"Up",16.5285242094972
"GO_NEGATIVE_REGULATION_OF_CYTOSKELETON_ORGANIZATION",152,1.56666554745359e-16,5.78429411336156e-15,1,1,"Up",16.487405455224
"GO_REGULATION_OF_DNA_METABOLIC_PROCESS",153,2.57565028416384e-16,9.44741790505065e-15,1,1,"Up",16.240677412409
"GO_SINGLE_ORGANISM_BIOSYNTHETIC_PROCESS",154,4.7744382319296e-16,1.73987969854473e-14,1,1,"Up",15.933567053494
"GO_NEGATIVE_REGULATION_OF_CELL_CYCLE_PROCESS",155,4.84396967453424e-16,1.75382953635395e-14,1,1,"Up",15.929550902969
"GO_MICROTUBULE",156,8.70565632736092e-16,3.13180405827881e-14,1,1,"Up",15.6379565460224
"GO_UBIQUITIN_LIGASE_COMPLEX",157,9.0088768327632e-16,3.22024310735459e-14,1,1,"Up",15.6239515274791
"GO_LIGASE_ACTIVITY",158,1.10075459144107e-15,3.90976883997928e-14,1,1,"Up",15.5263751023133
"GO_SPLICEOSOMAL_COMPLEX",159,1.3279628913141e-15,4.6578298412842e-14,1,1,"Up",15.4383289354436
"GO_CELL_LEADING_EDGE",160,1.32683314756936e-15,4.6578298412842e-14,1,1,"Up",15.4383289354436
"GO_NUCLEIC_ACID_PHOSPHODIESTER_BOND_HYDROLYSIS",161,1.45135014238087e-15,5.05899192487045e-14,1,1,"Up",15.396779239888
"GO_SISTER_CHROMATID_COHESION",162,1.53220747027523e-15,5.30786933529914e-14,1,1,"Up",15.3726275835439
"GO_REGULATION_OF_PROTEIN_MODIFICATION_PROCESS",163,1.8093935920309e-15,6.22964223219473e-14,1,1,"Up",15.2920964790875
"GO_NUCLEAR_ENVELOPE",164,1.88260078845363e-15,6.44216806390352e-14,1,1,"Up",15.2752255476575
"GO_REGULATION_OF_RESPONSE_TO_STRESS",165,2.04186748250324e-15,6.94482443139891e-14,1,1,"Up",15.2374407009153
"GO_CONDENSED_CHROMOSOME",166,2.60135715896809e-15,8.79446769646319e-14,1,1,"Up",15.1186891264234
"GO_CYTOSKELETAL_PROTEIN_BINDING",167,3.02825816414772e-15,1.017639809413e-13,1,1,"Up",15.0452894339284
"GO_GTPASE_BINDING",168,4.00521149306861e-15,1.33793136304173e-13,1,1,"Up",14.907672244873
"GO_KINETOCHORE",169,7.06074361458771e-15,2.3446682346193e-13,1,1,"Up",14.6255268004301
"GO_RIBONUCLEOPROTEIN_COMPLEX_SUBUNIT_ORGANIZATION",170,7.57154116601254e-15,2.49949935433308e-13,1,1,"Up",14.5933670755558
"GO_REGULATION_OF_RNA_STABILITY",171,8.29502004866738e-15,2.72231886041645e-13,1,1,"Up",14.5504212922697
"GO_REGULATION_OF_PROTEIN_MODIFICATION_BY_SMALL_PROTEIN_CONJUGATION_OR_REMOVAL",172,9.85098497698979e-15,3.21417021458527e-13,1,1,"Up",14.4668944280384
"GO_PROTEIN_COMPLEX_BINDING",173,1.13993051406716e-14,3.69785551730918e-13,1,1,"Up",14.3963937626526
"GO_POSITIVE_REGULATION_OF_CELLULAR_PROTEIN_LOCALIZATION",174,1.23092912132861e-14,3.97010013154953e-13,1,1,"Up",14.3606675021284
"GO_POSITIVE_REGULATION_OF_GENE_EXPRESSION",175,1.33083236940372e-14,4.26778928976783e-13,1,1,"Up",14.3243043534252
"GO_POSITIVE_REGULATION_OF_CHROMOSOME_ORGANIZATION",176,1.51519470252338e-14,4.83140492645523e-13,1,1,"Up",14.2619220050243
"GO_KINASE_BINDING",177,1.59290441504336e-14,5.05049693628438e-13,1,1,"Up",14.2396180206992
"GO_POSITIVE_REGULATION_OF_TRANSFERASE_ACTIVITY",178,1.82852945121886e-14,5.76500409002259e-13,1,1,"Up",14.1730725938993
"GO_DNA_TEMPLATED_TRANSCRIPTION_TERMINATION",179,1.99851617466884e-14,6.26573897890588e-13,1,1,"Up",14.1311843992976
"GO_REGULATION_OF_CELLULAR_PROTEIN_LOCALIZATION",180,2.33350653175166e-14,7.27535480899461e-13,1,1,"Up",14.0560507667171
"GO_MICROTUBULE_ORGANIZING_CENTER_ORGANIZATION",181,2.40775866305405e-14,7.46538210887256e-13,1,1,"Up",14.0430835689293
"GO_UBIQUITIN_LIKE_PROTEIN_TRANSFERASE_ACTIVITY",182,2.45152978784643e-14,7.55933251065612e-13,1,1,"Up",14.0367939643321
"GO_REGULATION_OF_PROTEASOMAL_PROTEIN_CATABOLIC_PROCESS",183,2.48075212479705e-14,7.60763984937763e-13,1,1,"Up",14.033590344605
"GO_REGULATION_OF_MICROTUBULE_POLYMERIZATION_OR_DEPOLYMERIZATION",184,2.83482730247047e-14,8.64622327253494e-13,1,1,"Up",13.9692323991068
"GO_TRANSCRIPTION_FACTOR_BINDING",185,2.98367807459941e-14,9.05102775927128e-13,1,1,"Up",13.9462211316781
"GO_REGULATION_OF_CELLULAR_COMPONENT_BIOGENESIS",186,3.95968335146102e-14,1.19471736389243e-12,1,1,"Up",13.806603448933
"GO_TRANSLATIONAL_INITIATION",187,4.19250771635661e-14,1.25820071145419e-12,1,1,"Up",13.780565963317
"GO_ENDOPLASMIC_RETICULUM",188,5.87580385341528e-14,1.75398995879609e-12,1,1,"Up",13.6134920670758
"GO_REGULATION_OF_TRANSFERASE_ACTIVITY",189,9.27215573465672e-14,2.75319248586738e-12,1,1,"Up",13.3867434408412
"GO_REGULATION_OF_PROTEIN_COMPLEX_DISASSEMBLY",190,1.29290391711975e-13,3.81882988572424e-12,1,1,"Up",13.2221979813441
"GO_POSITIVE_REGULATION_OF_CELL_CYCLE",191,1.34944170108567e-13,3.96495645366113e-12,1,1,"Up",13.203313086148
"GO_VIRAL_LIFE_CYCLE",192,1.46523596155026e-13,4.28276261261462e-12,1,1,"Up",13.164536568624
"GO_ORGANELLE_INNER_MEMBRANE",193,1.62257641505117e-13,4.71808230117469e-12,1,1,"Up",13.1158522306675
"GO_REGULATION_OF_LIGASE_ACTIVITY",194,1.6623996922658e-13,4.80896240876067e-12,1,1,"Up",13.1062571401507
"GO_GOLGI_APPARATUS_PART",195,1.70485905848829e-13,4.90649694165965e-12,1,1,"Up",13.0961591502176
"GO_CHROMATIN",196,1.7457971232497e-13,4.99868033452925e-12,1,1,"Up",13.0867980208246
"GO_POSITIVE_REGULATION_OF_PROTEOLYSIS",197,1.86196854207874e-13,5.3042474406832e-12,1,1,"Up",13.0569580355172
"GO_NEGATIVE_REGULATION_OF_NITROGEN_COMPOUND_METABOLIC_PROCESS",198,1.98584476877832e-13,5.62856608201209e-12,1,1,"Up",13.027111585308
"GO_NEGATIVE_REGULATION_OF_PROTEIN_COMPLEX_DISASSEMBLY",199,2.06472468207341e-13,5.82273111346531e-12,1,1,"Up",13.0100553480173
"GO_REGULATION_OF_CELL_CYCLE_G1_S_PHASE_TRANSITION",200,2.3300325776138e-13,6.53807141278434e-12,1,1,"Up",12.9517810784523
"GO_PROTEIN_LOCALIZATION_TO_MEMBRANE",201,2.5358992664692e-13,7.05684929830267e-12,1,1,"Up",12.9133802155744
"GO_ORGANELLE_ASSEMBLY",202,2.54006336111393e-13,7.05684929830267e-12,1,1,"Up",12.9133802155744
"GO_MULTI_ORGANISM_METABOLIC_PROCESS",203,3.20211861389893e-13,8.85235943901517e-12,1,1,"Up",12.7993765720641
"GO_ANAPHASE_PROMOTING_COMPLEX_DEPENDENT_CATABOLIC_PROCESS",204,3.32304343399166e-13,9.14162732919667e-12,1,1,"Up",12.7832056225724
"GO_REGULATION_OF_PROTEASOMAL_UBIQUITIN_DEPENDENT_PROTEIN_CATABOLIC_PROCESS",205,3.44516582410706e-13,9.43135151457991e-12,1,1,"Up",12.7675141504339
